customer_id,f_name,l_name,state,address
102,Riya,Iyer,Tamil Nadu,Address 102
103,Karan,Patel,Kerala,Address 103
104,Karan,Nair,Delhi,Address 104
105,Rahul,Gupta,Kerala,Address 105
106,Anjali,Mehta,Kerala,Address 106
107,Riya,Khan,Tamil Nadu,Address 107
108,Riya,Sharma,Tamil Nadu,Address 108
109,Rahul,Mehta,Uttar Pradesh,Address 109
110,Riya,Gupta,Tamil Nadu,Address 110
111,Arjun,Reddy,Delhi,Address 111
112,Arjun,Khan,Karnataka,Address 112
113,Priya,Patel,Uttar Pradesh,Address 113
114,Vikram,Iyer,Karnataka,Address 114
115,Rahul,Sharma,Maharashtra,Address 115
116,Riya,Gupta,Kerala,Address 116
117,Rahul,Singh,Delhi,Address 117
118,Karan,Reddy,Delhi,Address 118
119,Arjun,Nair,Delhi,Address 119
120,Arjun,Reddy,Delhi,Address 120
121,Neha,Singh,Uttar Pradesh,Address 121
122,Vikram,Gupta,Uttar Pradesh,Address 122
123,Karan,Sharma,Uttar Pradesh,Address 123
124,Karan,Reddy,Uttar Pradesh,Address 124
125,Rahul,Patel,Karnataka,Address 125
126,Rahul,Nair,Uttar Pradesh,Address 126
127,Karan,Patel,Karnataka,Address 127
128,Vikram,Gupta,Delhi,Address 128
129,Arjun,Khan,Uttar Pradesh,Address 129
130,Vikram,Singh,Maharashtra,Address 130
131,Vikram,Sharma,Kerala,Address 131
132,Priya,Reddy,Kerala,Address 132
133,Amit,Das,Delhi,Address 133
134,Vikram,Patel,Uttar Pradesh,Address 134
135,Neha,Singh,Uttar Pradesh,Address 135
136,Priya,Singh,Kerala,Address 136
137,Rahul,Nair,Uttar Pradesh,Address 137
138,Sneha,Singh,Kerala,Address 138
139,Arjun,Gupta,Tamil Nadu,Address 139
140,Sneha,Mehta,Delhi,Address 140
141,Amit,Reddy,Karnataka,Address 141
142,Amit,Das,Delhi,Address 142
143,Anjali,Nair,Karnataka,Address 143
144,Karan,Mehta,Tamil Nadu,Address 144
145,Sneha,Khan,Delhi,Address 145
146,Sneha,Mehta,Kerala,Address 146
147,Sneha,Das,Maharashtra,Address 147
148,Anjali,Reddy,Delhi,Address 148
149,Rahul,Mehta,Kerala,Address 149
150,Neha,Khan,Delhi,Address 150
